movie_id,title,industry,release_year,imdb_rating,studio,language_id
110,"Bajirao Mastani ",Bollywood,2015,7.2,,1
124,Parasite,Hollywood,2019,8.5,,5
128,"Taare Zameen Par",Bollywood,2007,8.3,,1
