studio
"Hombale Films"
"United Producers"
"Yash Raj Films"
"Vinod Chopra Films"
"Dharma Productions"

"Government of West Bengal"
"Vinod Chopra Productions"
"Mythri Movie Makers"
"DVV Entertainment"
"Arka Media Works"
"Zee Studios"
"Salman Khan Films"
